single,run_M,reserve_M,reserve_mode,topup_thr_M,topup_amt,labor_1988,labor_total,starts_with_labor,saved_1988,fails,ruin_total,terminal_median_M,min_total_floor_M
sc2.2,12,28,bond75gold25,12.000,ALL,5,28,3,0,1987;1988;1989,3,6311.900,0.000
sc2.2,12,28,bond75gold25,14.000,3M,14,346,30,0,1975;1976;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,30,16.100,0.000
sc2.2,12,28,bond75gold25,14.000,4M,14,260,26,0,1975;1976;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1998;1999;2000;2001;2002;2003;2004;2005,26,204.100,0.000
sc2.2,12,28,bond75gold25,14.000,5M,14,152,21,0,1975;1980;1981;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1997;1999;2000;2001;2002;2003;2004;2005,21,37.000,0.000
sc2.2,12,28,bond75gold25,14.000,6M,13,105,15,0,1975;1983;1984;1986;1987;1988;1989;1990;1993;1999;2000;2001;2002;2004;2005,15,261.900,0.000
sc2.2,12,28,bond75gold25,14.000,8M,13,63,8,0,1986;1987;1988;2000;2001;2002;2004;2005,8,741.300,0.000
sc2.2,12,28,bond75gold25,14.000,ALL,14,34,3,0,1988;2000;2004,3,12737.100,0.000
sc2.2,12,28,bond50gold50,6.000,3M,15,413,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,6.000,4M,15,410,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,6.000,5M,15,404,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,6.000,6M,15,397,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,6.000,8M,14,365,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,6.000,ALL,11,33,3,0,1986;1987;1988,3,5631.900,0.000
sc2.2,12,28,bond50gold50,8.000,3M,15,411,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,8.000,4M,15,405,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,8.000,5M,15,394,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,8.000,6M,15,373,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,8.000,8M,14,313,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,8.000,ALL,11,31,3,0,1987;1988;1989,3,5823.800,0.000
sc2.2,12,28,bond50gold50,10.000,3M,15,412,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,10.000,4M,15,404,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,10.000,5M,15,389,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,10.000,6M,15,347,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,10.000,8M,14,235,26,0,1975;1976;1979;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,26,613.700,0.000
sc2.2,12,28,bond50gold50,10.000,ALL,11,43,4,0,1987;1988;1989;1998,4,6411.100,0.000
sc2.2,12,28,bond50gold50,12.000,3M,15,405,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,12.000,4M,15,393,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,12.000,5M,15,357,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,12.000,6M,15,288,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,12.000,8M,14,162,19,0,1975;1981;1984;1985;1986;1987;1988;1989;1990;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005,19,357.000,0.000
sc2.2,12,28,bond50gold50,12.000,ALL,11,36,3,0,1987;1988;1989,3,5771.600,0.000
sc2.2,12,28,bond50gold50,14.000,3M,15,352,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond50gold50,14.000,4M,15,262,25,0,1975;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1998;1999;2000;2001;2002;2003;2004;2005,25,192.100,0.000
sc2.2,12,28,bond50gold50,14.000,5M,15,162,21,0,1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1997;1999;2000;2001;2002;2003;2004;2005,21,54.500,0.000
sc2.2,12,28,bond50gold50,14.000,6M,14,119,15,0,1975;1983;1984;1986;1987;1988;1989;1990;1992;1993;1999;2000;2001;2004;2005,15,264.700,0.000
sc2.2,12,28,bond50gold50,14.000,8M,13,71,9,0,1986;1987;1988;1990;2000;2001;2002;2004;2005,9,771.600,0.000
sc2.2,12,28,bond50gold50,14.000,ALL,14,34,3,0,1988;2000;2004,3,12737.100,0.000
sc2.2,12,28,bond50sofr50,6.000,3M,14,413,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
