strat,runfrac,floor_real_M,top_wr,top_wr_late,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin,reserve_mix
sc2.6,0.5,6.37,0.2,0.24,0.0,7,82,0.0,143.2,3524.6,2,b80g20
sc2.6,0.5,6.37,0.2,0.28,0.0,7,80,0.0,143.2,3524.6,2,b80g20
sc2.6,0.5,6.6,0.16,,0.0,6,179,0.0,142.2,3518.8,1,b80g20
sc2.6,0.5,6.6,0.16,0.24,0.0,6,174,0.0,142.2,3518.8,1,b80g20
sc2.6,0.5,6.6,0.16,0.28,0.0,6,173,0.0,142.2,3518.8,1,b80g20
sc2.6,0.5,6.6,0.18,,0.0,17,121,0.0,142.8,3649.6,3,b80g20
sc2.6,0.5,6.6,0.18,0.24,0.0,17,117,0.0,142.8,3649.6,3,b80g20
sc2.6,0.5,6.6,0.18,0.28,0.0,17,116,0.0,142.8,3649.6,3,b80g20
sc2.6,0.5,6.6,0.2,,0.0,11,89,0.0,143.4,3471.9,2,b80g20
sc2.6,0.5,6.6,0.2,0.24,0.0,11,88,0.0,143.4,3471.9,2,b80g20
sc2.6,0.5,6.6,0.2,0.28,0.0,11,84,0.0,143.4,3471.9,2,b80g20
sc2.6,0.6,5.0,0.16,,0.0,0,135,5.0,137.4,4896.2,0,b80g20
sc2.6,0.6,5.0,0.16,0.24,0.0,0,131,5.0,137.4,4896.2,0,b80g20
sc2.6,0.6,5.0,0.16,0.28,0.0,0,131,5.0,137.4,4896.2,0,b80g20
sc2.6,0.6,5.0,0.18,,0.0,0,97,5.0,139.6,3977.4,0,b80g20
sc2.6,0.6,5.0,0.18,0.24,0.0,0,93,5.0,139.6,3977.4,0,b80g20
sc2.6,0.6,5.0,0.18,0.28,0.0,0,92,5.0,139.6,3977.4,0,b80g20
sc2.6,0.6,5.0,0.2,,0.0,0,69,5.0,141.8,4535.2,0,b80g20
sc2.6,0.6,5.0,0.2,0.24,0.0,0,69,5.0,141.8,4535.2,0,b80g20
sc2.6,0.6,5.0,0.2,0.28,0.0,0,69,5.0,141.8,4535.2,0,b80g20
sc2.6,0.6,5.5,0.16,,0.0,0,146,5.5,138.9,4037.6,0,b80g20
sc2.6,0.6,5.5,0.16,0.24,0.0,0,143,5.5,138.9,4037.6,0,b80g20
sc2.6,0.6,5.5,0.16,0.28,0.0,0,143,5.5,138.9,4037.6,0,b80g20
sc2.6,0.6,5.5,0.18,,0.0,0,91,5.5,140.6,4775.1,0,b80g20
sc2.6,0.6,5.5,0.18,0.24,0.0,0,88,5.5,140.6,4775.1,0,b80g20
sc2.6,0.6,5.5,0.18,0.28,0.0,0,87,5.5,140.6,4775.1,0,b80g20
sc2.6,0.6,5.5,0.2,,0.0,0,76,5.5,142.3,4775.1,0,b80g20
sc2.6,0.6,5.5,0.2,0.24,0.0,0,74,5.5,142.3,4775.1,0,b80g20
sc2.6,0.6,5.5,0.2,0.28,0.0,0,73,5.5,142.3,4775.1,0,b80g20
sc2.6,0.6,6.0,0.16,,0.0,0,176,6.0,139.2,3792.0,0,b80g20
sc2.6,0.6,6.0,0.16,0.24,0.0,0,170,6.0,139.2,3792.0,0,b80g20
sc2.6,0.6,6.0,0.16,0.28,0.0,0,166,6.0,139.2,3792.0,0,b80g20
sc2.6,0.6,6.0,0.18,,0.0,7,109,0.0,141.6,4775.1,2,b80g20
sc2.6,0.6,6.0,0.18,0.24,0.0,7,107,0.0,141.6,4775.1,2,b80g20
sc2.6,0.6,6.0,0.18,0.28,0.0,7,106,0.0,141.6,4775.1,2,b80g20
sc2.6,0.6,6.0,0.2,,0.0,9,84,0.0,142.8,4775.9,2,b80g20
sc2.6,0.6,6.0,0.2,0.24,0.0,9,84,0.0,142.8,4775.9,2,b80g20
sc2.6,0.6,6.0,0.2,0.28,0.0,9,84,0.0,142.8,4775.9,2,b80g20
sc2.6,0.6,6.37,0.16,,0.0,11,189,0.0,140.7,3413.8,2,b80g20
sc2.6,0.6,6.37,0.16,0.24,0.0,11,186,0.0,140.7,3413.8,2,b80g20
sc2.6,0.6,6.37,0.16,0.28,0.0,11,185,0.0,140.7,3413.8,2,b80g20
sc2.6,0.6,6.37,0.18,,0.0,12,123,0.0,142.3,4775.1,2,b80g20
sc2.6,0.6,6.37,0.18,0.24,0.0,12,119,0.0,142.3,4775.1,2,b80g20
sc2.6,0.6,6.37,0.18,0.28,0.0,12,117,0.0,142.3,4775.1,2,b80g20
sc2.6,0.6,6.37,0.2,,0.0,15,99,0.0,142.8,4775.1,2,b80g20
sc2.6,0.6,6.37,0.2,0.24,0.0,15,98,0.0,142.8,4775.1,2,b80g20
sc2.6,0.6,6.37,0.2,0.28,0.0,15,96,0.0,142.8,4775.1,2,b80g20
sc2.6,0.6,6.6,0.16,,0.0,23,204,0.0,141.6,3490.1,4,b80g20
sc2.6,0.6,6.6,0.16,0.24,0.0,23,196,0.0,141.6,3490.1,4,b80g20
sc2.6,0.6,6.6,0.16,0.28,0.0,23,196,0.0,141.6,3490.1,4,b80g20
sc2.6,0.6,6.6,0.18,,0.0,16,133,0.0,142.8,4775.1,3,b80g20
sc2.6,0.6,6.6,0.18,0.24,0.0,16,128,0.0,142.8,4775.1,3,b80g20
sc2.6,0.6,6.6,0.18,0.28,0.0,16,127,0.0,142.8,4775.1,3,b80g20
sc2.6,0.6,6.6,0.2,,0.0,21,115,0.0,143.1,4775.1,5,b80g20
