start_year,strategy,elapsed_year,calendar_year,asset_yen,backfilled
1985,P09_STR_sc1.0,11,1995,82154354,0
1985,P09_STR_sc1.0,12,1996,92470805,0
1985,P09_STR_sc1.0,13,1997,107289194,0
1985,P09_STR_sc1.0,14,1998,155962044,0
1985,P09_STR_sc1.0,15,1999,262195944,0
1985,P09_STR_sc1.0,16,2000,241976492,0
1985,P09_STR_sc1.0,17,2001,244102086,0
1985,P09_STR_sc1.0,18,2002,275542399,0
1985,P09_STR_sc1.0,19,2003,506036158,0
1985,P09_STR_sc1.0,20,2004,501736773,0
1985,P09_STR_sc1.4,1,1985,44520450,0
1985,P09_STR_sc1.4,2,1986,51114119,0
1985,P09_STR_sc1.4,3,1987,79439781,0
1985,P09_STR_sc1.4,4,1988,62762067,0
1985,P09_STR_sc1.4,5,1989,80885227,0
1985,P09_STR_sc1.4,6,1990,61169290,0
1985,P09_STR_sc1.4,7,1991,82159137,0
1985,P09_STR_sc1.4,8,1992,109724594,0
1985,P09_STR_sc1.4,9,1993,114273909,0
1985,P09_STR_sc1.4,10,1994,104987767,0
1985,P09_STR_sc1.4,11,1995,186776612,0
1985,P09_STR_sc1.4,12,1996,231236110,0
1985,P09_STR_sc1.4,13,1997,298430068,0
1985,P09_STR_sc1.4,14,1998,503325848,0
1985,P09_STR_sc1.4,15,1999,1059206807,0
1985,P09_STR_sc1.4,16,2000,945861064,0
1985,P09_STR_sc1.4,17,2001,967625038,0
1985,P09_STR_sc1.4,18,2002,1107593794,0
1985,P09_STR_sc1.4,19,2003,2560942551,0
1985,P09_STR_sc1.4,20,2004,2479493630,0
1985,P09_STR_sc1.6,1,1985,47279550,0
1985,P09_STR_sc1.6,2,1986,55382405,0
1985,P09_STR_sc1.6,3,1987,92600890,0
1985,P09_STR_sc1.6,4,1988,71960807,0
1985,P09_STR_sc1.6,5,1989,96630859,0
1985,P09_STR_sc1.6,6,1990,71429055,0
1985,P09_STR_sc1.6,7,1991,101049488,0
1985,P09_STR_sc1.6,8,1992,142217395,0
1985,P09_STR_sc1.6,9,1993,148087515,0
1985,P09_STR_sc1.6,10,1994,135790713,0
1985,P09_STR_sc1.6,11,1995,263014686,0
1985,P09_STR_sc1.6,12,1996,337646031,0
1985,P09_STR_sc1.6,13,1997,454977535,0
1985,P09_STR_sc1.6,14,1998,816490532,0
1985,P09_STR_sc1.6,15,1999,1898515062,0
1985,P09_STR_sc1.6,16,2000,1658020786,0
1985,P09_STR_sc1.6,17,2001,1699654016,0
1985,P09_STR_sc1.6,18,2002,1949427118,0
1985,P09_STR_sc1.6,19,2003,5010521241,0
1985,P09_STR_sc1.6,20,2004,4766733426,0
1985,P09_STR_sc1.8,1,1985,50173800,0
1985,P09_STR_sc1.8,2,1986,59864650,0
1985,P09_STR_sc1.8,3,1987,107540295,0
1985,P09_STR_sc1.8,4,1988,82050987,0
1985,P09_STR_sc1.8,5,1989,114504033,0
1985,P09_STR_sc1.8,6,1990,82514025,0
1985,P09_STR_sc1.8,7,1991,122372800,0
1985,P09_STR_sc1.8,8,1992,180722576,0
1985,P09_STR_sc1.8,9,1993,187412710,0
1985,P09_STR_sc1.8,10,1994,170858762,0
1985,P09_STR_sc1.8,11,1995,358852486,0
1985,P09_STR_sc1.8,12,1996,475682777,0
1985,P09_STR_sc1.8,13,1997,667147695,0
1985,P09_STR_sc1.8,14,1998,1268108893,0
1985,P09_STR_sc1.8,15,1999,3239387759,0
1985,P09_STR_sc1.8,16,2000,2761947168,0
1985,P09_STR_sc1.8,17,2001,2834379944,0
1985,P09_STR_sc1.8,18,2002,3254361936,0
1985,P09_STR_sc1.8,19,2003,9259181641,0
