section,key,value,note,L,clearance_dist_A_pct,nasdaq_return_pct,regime,excess_L_minus3,margin_rate_pct,intraday_add_pct,threshold_drop_pct,loss_at_liq_pct_AUM,loss_at_liq_JPY,risk_level,scenario,worst_1d_pct,cumulative_pct,n_days,n_liquidations,final_nav_liq,final_nav_base,cagr_liq,cagr_base,cagr_gap_pp,min9_liq,min9_base,min9_gap_pp,maxdd_liq,maxdd_base,maxdd_gap_pp,account_model,scenario_key,date,excess_n_pct,nasdaq_drop_pct,eff_drop_pct,liq_loss_pct_AUM,liq_loss_JPY,max_excess_date,max_excess_pct,max_L,worst_drop_date,worst_drop_pct,worst_combined_loss_pct_AUM,worst_combined_loss_JPY
M1_mar_4.24pct_statsA,p5,4.24,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsA,p25,4.24,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsA,median,4.24,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsA,mean,4.24,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsB,label,Account_B_rho,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsB,n_k365_days,5454,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsB,min,4.24,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsB,p1,4.24,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsB,p5,4.328,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsB,p25,4.4303,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsB,median,4.5084,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsB,mean,5.0386,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1984-11-23,278.4,,6.48,4.24,0.9465,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1984-11-26,278.4,,6.48,4.24,-0.1631,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1986-11-13,278.4,,6.48,4.24,-0.8859,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1986-11-14,278.4,,6.48,4.24,0.1397,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1987-07-10,278.4,,6.48,4.24,0.094,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1990-04-17,278.4,,6.48,4.24,-0.2977,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1990-04-18,278.4,,6.48,4.24,-0.8957,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1992-09-03,278.4,,6.48,4.24,0.6354,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1992-09-04,278.4,,6.48,4.24,-0.2505,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_top10,1992-09-08,278.4,,6.48,4.24,-0.3959,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct,mar_rate_pct,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct,n_k365_days,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsA,label,Account_A,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsA,n_k365_days,5454,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsA,min,8.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsA,p1,8.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsA,p5,8.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsA,p25,8.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsA,median,8.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsA,mean,8.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsB,label,Account_B_rho,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsB,n_k365_days,5454,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsB,min,8.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsB,p1,8.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsB,p5,8.166,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsB,p25,8.3591,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsB,median,8.5063,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_statsB,mean,9.4093,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1984-11-23,278.4,,6.48,8.0,0.9465,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1984-11-26,278.4,,6.48,8.0,-0.1631,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1986-11-13,278.4,,6.48,8.0,-0.8859,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1986-11-14,278.4,,6.48,8.0,0.1397,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1987-07-10,278.4,,6.48,8.0,0.094,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1990-04-17,278.4,,6.48,8.0,-0.2977,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1990-04-18,278.4,,6.48,8.0,-0.8957,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1992-09-03,278.4,,6.48,8.0,0.6354,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1992-09-04,278.4,,6.48,8.0,-0.2505,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_8pct_top10,1992-09-08,278.4,,6.48,8.0,-0.3959,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct,mar_rate_pct,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct,n_k365_days,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsA,label,Account_A,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsA,n_k365_days,5454,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsA,min,12.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsA,p1,12.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsA,p5,12.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsA,p25,12.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsA,median,12.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsA,mean,12.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsB,label,Account_B_rho,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsB,n_k365_days,5454,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsB,min,12.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsB,p1,12.0,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsB,p5,12.249,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsB,p25,12.5386,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsB,median,12.7595,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_statsB,mean,13.9306,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1984-11-23,278.4,,6.48,12.0,0.9465,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1984-11-26,278.4,,6.48,12.0,-0.1631,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1986-11-13,278.4,,6.48,12.0,-0.8859,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1986-11-14,278.4,,6.48,12.0,0.1397,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1987-07-10,278.4,,6.48,12.0,0.094,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1990-04-17,278.4,,6.48,12.0,-0.2977,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1990-04-18,278.4,,6.48,12.0,-0.8957,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1992-09-03,278.4,,6.48,12.0,0.6354,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1992-09-04,278.4,,6.48,12.0,-0.2505,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_12pct_top10,1992-09-08,278.4,,6.48,12.0,-0.3959,Dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
