strategy,run_M,reserve_M,topup_thr_M,topup_amt,labor_years_total,starts_with_labor,starts_with_labor_list,topup_events_total,ruin_total,terminal_median_M,terminal_min_M,min_total_floor_M
N4,20.0000,20.0000,15.0000,10M,105,13,1979;1983;1984;1985;1986;1987;1988;1989;1990;1999;2000;2001;2005,46,13,1013.1545,13.7306,0.0000
N4,20.0000,20.0000,15.0000,ALL,43,5,1983;1986;1987;1988;2000,27,5,2417.3128,20.5258,0.0000
N4,20.0000,20.0000,20.0000,10M,43,5,1986;1987;1988;2000;2005,43,5,1330.6184,13.7306,0.0000
N4,20.0000,20.0000,20.0000,ALL,45,5,1985;1987;1988;1989;2000,27,5,2920.4418,20.5258,0.0000
N4,20.0000,20.0000,25.0000,10M,27,3,1988;2000;2004,47,3,3004.2218,630.6268,0.0000
N4,20.0000,20.0000,25.0000,ALL,45,4,1988;1990;2000;2004,31,4,5897.4362,1614.0654,0.0000
N4,25.0000,15.0000,15.0000,10M,81,8,1979;1984;1986;1987;1988;2000;2004;2005,31,8,952.1858,9.2902,0.0000
N4,25.0000,15.0000,15.0000,ALL,53,6,1979;1984;1986;1988;2000;2005,19,6,1085.8316,12.9529,0.0000
N4,25.0000,15.0000,20.0000,10M,44,4,1986;1987;1988;2000,28,4,1429.7786,28.2847,0.0000
N4,25.0000,15.0000,20.0000,ALL,33,3,1986;1988;2000,20,3,2134.7931,52.9092,0.0000
N4,25.0000,15.0000,25.0000,10M,28,3,1988;1990;2000,35,3,2650.4434,39.5904,0.0000
N4,25.0000,15.0000,25.0000,ALL,22,2,1988;2000,25,2,4096.0197,52.9092,0.0000
N4,30.0000,10.0000,15.0000,10M,88,10,1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,13,10,3000.9122,243.4568,0.0000
N4,30.0000,10.0000,15.0000,ALL,88,10,1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,13,10,3000.9122,243.4568,0.0000
N4,30.0000,10.0000,20.0000,10M,33,4,1988;2000;2004;2005,13,4,2721.4996,505.9196,0.0000
N4,30.0000,10.0000,20.0000,ALL,33,4,1988;2000;2004;2005,13,4,2721.4996,505.9196,0.0000
N4,30.0000,10.0000,25.0000,10M,27,3,1988;2000;2004,16,3,3004.2218,630.6268,0.0000
N4,30.0000,10.0000,25.0000,ALL,27,3,1988;2000;2004,16,3,3004.2218,630.6268,0.0000
N4,35.0000,5.0000,15.0000,10M,57,5,1988;1989;1990;2000;2004,5,5,4168.5292,657.5102,0.0000
N4,35.0000,5.0000,15.0000,ALL,57,5,1988;1989;1990;2000;2004,5,5,4168.5292,657.5102,0.0000
N4,35.0000,5.0000,20.0000,10M,44,4,1988;1990;2000;2004,5,4,3887.8842,471.0152,0.0000
N4,35.0000,5.0000,20.0000,ALL,44,4,1988;1990;2000;2004,5,4,3887.8842,471.0152,0.0000
N4,35.0000,5.0000,25.0000,10M,31,3,1988;2000;2004,9,3,4226.6418,170.3955,0.0000
N4,35.0000,5.0000,25.0000,ALL,31,3,1988;2000;2004,9,3,4226.6418,170.3955,0.0000
N4,40.0000,0.0000,,n/a,45,4,1988;1990;2000;2004,0,4,5897.4362,1614.0654,0.0000
X4,20.0000,20.0000,15.0000,10M,89,12,1975;1983;1984;1985;1986;1987;1988;1989;1990;2000;2001;2005,45,12,1562.9325,15.9536,0.0000
X4,20.0000,20.0000,15.0000,ALL,37,5,1983;1986;1987;1988;2000,27,5,2650.9979,124.1354,0.0000
X4,20.0000,20.0000,20.0000,10M,46,7,1984;1985;1986;1987;1988;2000;2005,42,7,1609.9890,43.7154,0.0000
X4,20.0000,20.0000,20.0000,ALL,37,4,1987;1988;1989;2000,27,4,2861.9825,124.1354,0.0000
X4,20.0000,20.0000,25.0000,10M,25,2,1988;2000,47,2,3370.2307,4.1298,0.0000
X4,20.0000,20.0000,25.0000,ALL,45,4,1988;1990;2000;2004,31,4,6436.3145,1675.4462,0.0000
X4,25.0000,15.0000,15.0000,10M,76,8,1981;1984;1986;1987;1988;2000;2004;2005,27,8,1072.4933,54.6309,0.0000
X4,25.0000,15.0000,15.0000,ALL,47,6,1981;1984;1986;1988;2000;2005,17,6,1475.6646,51.6752,0.0000
X4,25.0000,15.0000,20.0000,10M,42,4,1986;1987;1988;2000,27,4,1666.7631,54.6309,0.0000
X4,25.0000,15.0000,20.0000,ALL,33,3,1986;1988;2000,19,3,2383.7824,90.6951,0.0000
X4,25.0000,15.0000,25.0000,10M,27,3,1988;1990;2000,35,3,3052.1925,77.6885,0.0000
X4,25.0000,15.0000,25.0000,ALL,22,2,1988;2000,25,2,4452.1627,90.6951,0.0000
X4,30.0000,10.0000,15.0000,10M,85,11,1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,13,11,3377.8886,33.3081,0.0000
