glide,single,reserve_mode,run_M,res_M,bucket_y,draw,thr_M,labor,starts,saved88,ruin,termMed,floor
none,sc2.2,sofr,19,6.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,20,20.000,0,run_first,20.000,12,1,0,1,7572.097,0.000
none,sc2.2,cash,20,20.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,20,20.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,20,20.000,0,reserve_first_on_down,20.000,33,3,0,3,5674.476,0.000
none,sc2.2,cash,20,20.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,20,20.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,20,12.800,1,run_first,20.000,23,2,0,2,6185.982,0.000
none,sc2.2,cash,20,12.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,20,12.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,20,12.800,1,reserve_first_on_down,20.000,23,2,0,2,8966.816,0.000
none,sc2.2,cash,20,12.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,20,12.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,20,5.600,2,run_first,20.000,23,2,0,2,8966.816,0.000
none,sc2.2,cash,20,5.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,20,5.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,20,5.600,2,reserve_first_on_down,20.000,23,2,0,2,8966.816,0.000
none,sc2.2,cash,20,5.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,20,5.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,18,22.000,0,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,22.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
