strat,runfrac,floor_real_M,top_wr,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin
sc2.6,0.45,4.5,0.2,0.02,13,91,0.0,141.3,4908.1,2
sc2.6,0.45,5.0,0.16,0.02,0,165,5.0,137.4,3764.8,0
sc2.6,0.45,5.0,0.18,0.02,14,105,0.0,139.6,4949.6,2
sc2.6,0.45,5.0,0.2,0.02,14,92,0.0,141.8,4908.1,2
sc2.6,0.45,5.5,0.16,0.02,0,177,5.5,137.2,2963.9,0
sc2.6,0.45,5.5,0.18,0.02,16,113,0.0,140.6,4873.4,2
sc2.6,0.45,5.5,0.2,0.02,16,97,0.0,142.3,4742.2,2
sc2.6,0.45,6.0,0.16,0.02,7,206,0.0,139.2,2704.4,1
sc2.6,0.45,6.0,0.18,0.02,19,122,0.0,141.6,4340.6,3
sc2.6,0.45,6.0,0.2,0.02,19,111,0.0,142.8,4742.2,3
sc2.6,0.45,6.37,0.16,0.02,17,208,0.0,140.7,3507.6,3
sc2.6,0.45,6.37,0.18,0.02,26,138,0.0,142.3,4176.7,4
sc2.6,0.45,6.37,0.2,0.02,33,117,0.0,143.2,4742.2,5
sc2.6,0.5,4.0,0.16,0.02,0,157,4.0,134.4,4291.6,0
sc2.6,0.5,4.0,0.18,0.02,1,105,2.75,137.6,3478.9,1
sc2.6,0.5,4.0,0.2,0.02,8,101,0.0,137.6,3478.9,2
sc2.6,0.5,4.5,0.16,0.02,0,155,4.5,135.9,4873.2,0
sc2.6,0.5,4.5,0.18,0.02,0,108,4.5,138.6,3153.0,0
sc2.6,0.5,4.5,0.2,0.02,5,98,0.0,138.6,3281.8,1
sc2.6,0.5,5.0,0.16,0.02,0,151,5.0,137.4,6323.7,0
sc2.6,0.5,5.0,0.18,0.02,0,113,5.0,139.6,3084.7,0
sc2.6,0.5,5.0,0.2,0.02,7,99,0.0,140.7,3084.7,1
sc2.6,0.5,5.5,0.16,0.02,8,170,0.0,138.1,4793.9,1
sc2.6,0.5,5.5,0.18,0.02,0,119,5.5,140.6,2658.5,0
sc2.6,0.5,5.5,0.2,0.02,0,109,5.5,140.6,2887.5,0
sc2.6,0.5,6.0,0.16,0.02,6,189,0.0,139.2,3915.5,2
sc2.6,0.5,6.0,0.18,0.02,13,148,0.0,141.0,2657.3,3
sc2.6,0.5,6.0,0.2,0.02,9,128,0.0,141.6,2591.9,4
sc2.6,0.5,6.37,0.16,0.02,9,209,0.0,140.7,2960.1,3
sc2.6,0.5,6.37,0.18,0.02,22,160,0.0,141.9,2591.9,4
sc2.6,0.5,6.37,0.2,0.02,24,139,0.0,142.3,2680.4,5
sc2.6,0.6,4.0,0.16,0.02,0,131,4.0,134.4,4308.0,0
sc2.6,0.6,4.0,0.18,0.02,0,98,4.0,137.6,3462.8,0
sc2.6,0.6,4.0,0.2,0.02,0,88,4.0,140.8,3753.3,0
sc2.6,0.6,4.5,0.16,0.02,0,142,4.5,135.9,4994.8,0
sc2.6,0.6,4.5,0.18,0.02,0,115,4.5,137.2,3992.3,0
sc2.6,0.6,4.5,0.2,0.02,0,96,4.5,139.9,4247.2,0
sc2.6,0.6,5.0,0.16,0.02,0,155,5.0,135.2,3796.3,0
sc2.6,0.6,5.0,0.18,0.02,0,115,5.0,139.6,4889.9,0
sc2.6,0.6,5.0,0.2,0.02,7,103,0.0,140.7,4247.2,1
sc2.6,0.6,5.5,0.16,0.02,0,187,5.5,136.3,3198.2,0
sc2.6,0.6,5.5,0.18,0.02,8,143,0.0,140.6,4247.2,1
sc2.6,0.6,5.5,0.2,0.02,7,108,0.0,141.4,4247.2,2
sc2.6,0.6,6.0,0.16,0.02,14,217,0.0,138.0,3260.7,3
sc2.6,0.6,6.0,0.18,0.02,20,146,0.0,141.6,4247.2,3
sc2.6,0.6,6.0,0.2,0.02,25,125,0.0,142.2,4247.2,4
sc2.6,0.6,6.37,0.16,0.02,24,225,0.0,139.8,2362.9,4
sc2.6,0.6,6.37,0.18,0.02,32,160,0.0,142.3,4697.5,6
sc2.6,0.6,6.37,0.2,0.02,33,140,0.0,142.8,4418.6,6
sc2.6,0.45,4.0,0.16,0.03,0,152,4.0,134.4,4635.4,0
sc2.6,0.45,4.0,0.18,0.03,15,128,0.0,137.6,4556.8,3
sc2.6,0.45,4.0,0.2,0.03,14,101,0.0,140.8,4592.0,3
sc2.6,0.45,4.5,0.16,0.03,0,159,4.5,135.9,3966.6,0
sc2.6,0.45,4.5,0.18,0.03,18,125,0.0,138.6,4165.0,3
sc2.6,0.45,4.5,0.2,0.03,18,103,0.0,141.3,4496.6,3
sc2.6,0.45,5.0,0.16,0.03,0,177,5.0,137.4,3313.1,0
sc2.6,0.45,5.0,0.18,0.03,18,125,0.0,139.6,3795.7,3
sc2.6,0.45,5.0,0.2,0.03,20,109,0.0,140.7,4496.6,3
sc2.6,0.45,5.5,0.16,0.03,1,199,0.75,137.2,2429.9,1
sc2.6,0.45,5.5,0.18,0.03,21,137,0.0,140.6,3634.2,3
sc2.6,0.45,5.5,0.2,0.03,21,123,0.0,141.4,4213.9,3
sc2.6,0.45,6.0,0.16,0.03,5,213,0.0,139.2,3716.2,2
sc2.6,0.45,6.0,0.18,0.03,29,150,0.0,141.6,3472.8,5
sc2.6,0.45,6.0,0.2,0.03,40,130,0.0,141.6,4138.6,6
sc2.6,0.45,6.37,0.16,0.03,20,228,0.0,140.7,2879.1,5
sc2.6,0.45,6.37,0.18,0.03,40,164,0.0,142.3,3353.2,6
sc2.6,0.45,6.37,0.2,0.03,42,142,0.0,142.3,4138.6,6
sc2.6,0.5,4.0,0.16,0.03,0,172,4.0,134.4,3973.7,0
sc2.6,0.5,4.0,0.18,0.03,0,119,4.0,137.6,2989.8,0
sc2.6,0.5,4.0,0.2,0.03,10,114,0.0,137.6,2911.2,2
sc2.6,0.5,4.5,0.16,0.03,0,178,4.5,135.9,4599.0,0
sc2.6,0.5,4.5,0.18,0.03,0,125,4.5,138.6,2711.1,0
sc2.6,0.5,4.5,0.2,0.03,14,111,0.0,138.6,2711.1,2
sc2.6,0.5,5.0,0.16,0.03,0,163,5.0,137.4,5630.2,0
sc2.6,0.5,5.0,0.18,0.03,0,136,5.0,139.6,2267.9,0
sc2.6,0.5,5.0,0.2,0.03,8,111,0.0,139.6,2511.0,1
sc2.6,0.5,5.5,0.16,0.03,8,193,0.0,137.2,4213.4,1
sc2.6,0.5,5.5,0.18,0.03,0,150,5.5,138.9,2014.8,0
sc2.6,0.5,5.5,0.2,0.03,12,133,0.0,140.6,2310.8,2
sc2.6,0.5,6.0,0.16,0.03,9,216,0.0,139.2,3321.7,2
sc2.6,0.5,6.0,0.18,0.03,27,174,0.0,140.4,1888.5,5
sc2.6,0.5,6.0,0.2,0.03,29,152,0.0,141.0,1814.1,5
sc2.6,0.5,6.37,0.16,0.03,22,232,0.0,140.2,2694.2,4
sc2.6,0.5,6.37,0.18,0.03,36,186,0.0,141.5,1569.7,6
sc2.6,0.5,6.37,0.2,0.03,46,168,0.0,142.3,1815.4,7
sc2.6,0.6,4.0,0.16,0.03,0,141,4.0,134.4,3822.1,0
sc2.6,0.6,4.0,0.18,0.03,0,123,4.0,136.0,3830.4,0
sc2.6,0.6,4.0,0.2,0.03,0,106,4.0,139.2,3963.1,0
sc2.6,0.6,4.5,0.16,0.03,0,151,4.5,133.2,4029.5,0
sc2.6,0.6,4.5,0.18,0.03,0,129,4.5,137.2,3963.1,0
sc2.6,0.6,4.5,0.2,0.03,3,114,0.0,138.6,3963.1,1
sc2.6,0.6,5.0,0.16,0.03,0,172,5.0,135.2,3151.4,0
sc2.6,0.6,5.0,0.18,0.03,0,138,5.0,138.5,3879.5,0
sc2.6,0.6,5.0,0.2,0.03,0,109,5.0,139.6,3771.6,0
sc2.6,0.6,5.5,0.16,0.03,0,214,5.5,136.3,4302.4,0
sc2.6,0.6,5.5,0.18,0.03,17,160,0.0,140.6,3122.4,4
sc2.6,0.6,5.5,0.2,0.03,15,127,0.0,141.4,3548.9,3
sc2.6,0.6,6.0,0.16,0.03,24,246,0.0,136.8,2619.2,4
sc2.6,0.6,6.0,0.18,0.03,27,164,0.0,141.0,2881.4,5
sc2.6,0.6,6.0,0.2,0.03,27,143,0.0,141.6,4150.5,5
sc2.6,0.6,6.37,0.16,0.03,41,242,0.0,139.0,2031.1,7
sc2.6,0.6,6.37,0.18,0.03,48,172,0.0,141.9,4197.9,7
sc2.6,0.6,6.37,0.2,0.03,48,157,0.0,142.3,4150.5,7
sc2.6,0.45,4.0,0.16,0.035,0,155,4.0,134.4,4163.8,0
sc2.6,0.45,4.0,0.18,0.035,14,129,0.0,137.6,4752.4,3
sc2.6,0.45,4.0,0.2,0.035,13,99,0.0,140.8,4287.4,2
sc2.6,0.45,4.5,0.16,0.035,0,168,4.5,135.9,3436.7,0
sc2.6,0.45,4.5,0.18,0.035,14,133,0.0,138.6,4517.1,2
sc2.6,0.45,4.5,0.2,0.035,14,103,0.0,139.9,4280.6,2
sc2.6,0.45,5.0,0.16,0.035,0,184,5.0,135.2,3465.8,0
sc2.6,0.45,5.0,0.18,0.035,20,131,0.0,139.6,3896.1,3
sc2.6,0.45,5.0,0.2,0.035,15,116,0.0,140.7,4280.6,2
sc2.6,0.45,5.5,0.16,0.035,0,211,5.5,137.2,2137.9,0
sc2.6,0.45,5.5,0.18,0.035,21,151,0.0,140.6,3256.7,3
sc2.6,0.45,5.5,0.2,0.035,27,125,0.0,140.6,3778.4,5
sc2.6,0.45,6.0,0.16,0.035,12,230,0.0,139.2,3347.8,4
sc2.6,0.45,6.0,0.18,0.035,35,161,0.0,141.6,2644.2,6
sc2.6,0.45,6.0,0.2,0.035,38,133,0.0,141.6,3778.4,6
sc2.6,0.45,6.37,0.16,0.035,27,239,0.0,140.7,2714.9,5
sc2.6,0.45,6.37,0.18,0.035,42,173,0.0,142.3,3427.4,6
sc2.6,0.45,6.37,0.2,0.035,46,153,0.0,142.3,3778.4,7
