CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,Trades_yr,strategy,window_id,start_date,end_date,short_flag
1.079093,1.608726,-0.392570,0.551607,0.554217,250,47.376000,F10-eps015,2023,2023-01-03,2023-12-29,False
0.738204,1.263528,-0.283338,0.572649,0.561753,252,87.000000,F10-eps015,2024,2024-01-02,2024-12-31,False
0.513748,1.200298,-0.243564,0.421109,0.558233,250,59.472000,F10-eps015,2025,2025-01-02,2025-12-31,False
-0.321635,-0.820644,-0.186294,0.389763,0.456140,58,60.827586,F10-eps015,2026,2026-01-02,2026-03-26,True
-0.105733,-0.291292,-0.283429,0.264536,0.521912,252,58.000000,REF-F8R5-eps0,1977,1977-01-03,1977-12-30,False
1.579551,3.008961,-0.331592,0.335535,0.645418,252,47.000000,REF-F8R5-eps0,1978,1978-01-03,1978-12-29,False
0.301663,0.889760,-0.438454,0.388124,0.611111,253,35.857708,REF-F8R5-eps0,1979,1979-01-02,1979-12-31,False
0.844596,1.779276,-0.474215,0.388452,0.583333,253,26.893281,REF-F8R5-eps0,1980,1980-01-02,1980-12-31,False
-0.371106,-1.668970,-0.429122,0.258496,0.543651,253,42.830040,REF-F8R5-eps0,1981,1981-01-02,1981-12-31,False
0.971655,2.015081,-0.214247,0.372372,0.567460,253,12.948617,REF-F8R5-eps0,1982,1982-01-04,1982-12-31,False
0.152391,0.624857,-0.390101,0.303419,0.543651,253,61.754941,REF-F8R5-eps0,1983,1983-01-03,1983-12-30,False
-0.187194,-0.621985,-0.291191,0.276073,0.432540,253,9.960474,REF-F8R5-eps0,1984,1984-01-03,1984-12-31,False
1.712919,3.116476,-0.329671,0.340552,0.589641,252,43.000000,REF-F8R5-eps0,1985,1985-01-02,1985-12-31,False
0.501646,1.159511,-0.464570,0.436982,0.575397,253,58.766798,REF-F8R5-eps0,1986,1986-01-02,1986-12-31,False
0.808481,1.899013,-0.280460,0.344974,0.571429,253,54.782609,REF-F8R5-eps0,1987,1987-01-02,1987-12-31,False
-0.293475,-1.069870,-0.369993,0.286738,0.484127,253,21.913043,REF-F8R5-eps0,1988,1988-01-04,1988-12-30,False
0.698842,1.609509,-0.244490,0.375628,0.597610,252,46.000000,REF-F8R5-eps0,1989,1989-01-03,1989-12-29,False
-0.458906,-1.233442,-0.564022,0.424363,0.511905,253,36.853755,REF-F8R5-eps0,1990,1990-01-02,1990-12-31,False
0.972605,1.611827,-0.350684,0.502984,0.555556,253,55.778656,REF-F8R5-eps0,1991,1991-01-02,1991-12-31,False
0.688537,1.549366,-0.293521,0.387833,0.521739,254,59.527559,REF-F8R5-eps0,1992,1992-01-02,1992-12-31,False
-0.000899,0.160230,-0.283172,0.321463,0.579365,253,78.687747,REF-F8R5-eps0,1993,1993-01-04,1993-12-31,False
-0.085561,-0.089555,-0.329658,0.342097,0.498008,252,66.000000,REF-F8R5-eps0,1994,1994-01-03,1994-12-30,False
1.681286,3.044174,-0.154883,0.345436,0.609562,252,64.000000,REF-F8R5-eps0,1995,1995-01-03,1995-12-29,False
0.574443,1.220593,-0.315603,0.460431,0.573123,254,67.464567,REF-F8R5-eps0,1996,1996-01-02,1996-12-31,False
0.646204,1.840984,-0.217235,0.295832,0.551587,253,55.778656,REF-F8R5-eps0,1997,1997-01-02,1997-12-31,False
0.804762,1.702494,-0.290592,0.393932,0.557769,252,45.000000,REF-F8R5-eps0,1998,1998-01-02,1998-12-31,False
0.874879,1.992111,-0.230748,0.347405,0.565737,252,71.000000,REF-F8R5-eps0,1999,1999-01-04,1999-12-31,False
-0.116920,-0.457680,-0.196703,0.217080,0.501992,252,28.000000,REF-F8R5-eps0,2000,2000-01-03,2000-12-29,False
-0.069786,-0.330798,-0.131541,0.174088,0.485830,248,0.000000,REF-F8R5-eps0,2001,2001-01-02,2001-12-31,False
0.146061,1.006691,-0.107109,0.146637,0.553785,252,0.000000,REF-F8R5-eps0,2002,2002-01-02,2002-12-31,False
1.176424,1.756004,-0.260850,0.523518,0.517928,252,54.000000,REF-F8R5-eps0,2003,2003-01-02,2003-12-31,False
0.080051,0.393231,-0.439279,0.405063,0.541833,252,71.000000,REF-F8R5-eps0,2004,2004-01-02,2004-12-31,False
-0.174962,-0.219040,-0.414601,0.439382,0.513944,252,68.000000,REF-F8R5-eps0,2005,2005-01-03,2005-12-30,False
0.650074,1.435486,-0.204424,0.408866,0.576000,251,59.235060,REF-F8R5-eps0,2006,2006-01-03,2006-12-29,False
0.310401,0.874932,-0.239351,0.408004,0.604000,251,103.410359,REF-F8R5-eps0,2007,2007-01-03,2007-12-31,False
0.204534,0.960705,-0.172442,0.219524,0.531746,253,1.992095,REF-F8R5-eps0,2008,2008-01-02,2008-12-31,False
0.665779,1.408857,-0.192161,0.429856,0.553785,252,34.000000,REF-F8R5-eps0,2009,2009-01-02,2009-12-31,False
0.864956,1.460791,-0.333506,0.522837,0.617530,252,53.000000,REF-F8R5-eps0,2010,2010-01-04,2010-12-31,False
-0.145201,-0.197728,-0.286547,0.395979,0.533865,252,91.000000,REF-F8R5-eps0,2011,2011-01-03,2011-12-30,False
0.350254,0.963954,-0.318008,0.391805,0.477912,250,50.400000,REF-F8R5-eps0,2012,2012-01-03,2012-12-31,False
0.415451,1.032676,-0.190941,0.427275,0.525896,252,68.000000,REF-F8R5-eps0,2013,2013-01-02,2013-12-31,False
0.074148,0.392347,-0.159246,0.292828,0.541833,252,108.000000,REF-F8R5-eps0,2014,2014-01-02,2014-12-31,False
-0.313449,-0.827356,-0.394059,0.371970,0.486056,252,95.000000,REF-F8R5-eps0,2015,2015-01-02,2015-12-31,False
-0.022739,0.243168,-0.376570,0.553895,0.537849,252,58.000000,REF-F8R5-eps0,2016,2016-01-04,2016-12-30,False
1.095299,2.109038,-0.210496,0.388934,0.592000,251,98.390438,REF-F8R5-eps0,2017,2017-01-03,2017-12-29,False
-0.061972,0.054851,-0.382069,0.410497,0.540000,251,67.266932,REF-F8R5-eps0,2018,2018-01-02,2018-12-31,False
0.675795,1.284600,-0.373985,0.505271,0.557769,252,54.000000,REF-F8R5-eps0,2019,2019-01-02,2019-12-31,False
0.873228,1.845956,-0.228585,0.381811,0.611111,253,45.818182,REF-F8R5-eps0,2020,2020-01-02,2020-12-31,False
0.314952,1.011851,-0.229691,0.323148,0.537849,252,69.000000,REF-F8R5-eps0,2021,2021-01-04,2021-12-31,False
-0.257762,-1.602007,-0.324800,0.177010,0.464000,251,7.027888,REF-F8R5-eps0,2022,2022-01-03,2022-12-30,False
1.078863,1.608525,-0.392570,0.551607,0.554217,250,47.376000,REF-F8R5-eps0,2023,2023-01-03,2023-12-29,False
0.737898,1.263219,-0.283338,0.572648,0.561753,252,92.000000,REF-F8R5-eps0,2024,2024-01-02,2024-12-31,False
0.513748,1.200298,-0.243564,0.421109,0.558233,250,59.472000,REF-F8R5-eps0,2025,2025-01-02,2025-12-31,False
-0.321635,-0.820644,-0.186294,0.389763,0.456140,58,60.827586,REF-F8R5-eps0,2026,2026-01-02,2026-03-26,True
