CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,strategy,window_id,start_date,end_date,short_flag
-0.029753,0.098611,-0.260037,0.362350,0.549801,252,REF-N750,2011,2011-01-03,2011-12-30,False
0.228622,0.848965,-0.259639,0.294456,0.502008,250,REF-N750,2012,2012-01-03,2012-12-31,False
0.357877,1.021168,-0.176255,0.367853,0.525896,252,REF-N750,2013,2013-01-02,2013-12-31,False
0.049951,0.321910,-0.132915,0.248682,0.549801,252,REF-N750,2014,2014-01-02,2014-12-31,False
-0.302643,-0.946980,-0.396556,0.325546,0.458167,252,REF-N750,2015,2015-01-02,2015-12-31,False
-0.098243,0.089862,-0.407623,0.544480,0.545817,252,REF-N750,2016,2016-01-04,2016-12-30,False
0.949198,2.005306,-0.216813,0.368941,0.596000,251,REF-N750,2017,2017-01-03,2017-12-29,False
-0.031328,0.118563,-0.376615,0.389327,0.548000,251,REF-N750,2018,2018-01-02,2018-12-31,False
0.612630,1.301848,-0.337652,0.447549,0.565737,252,REF-N750,2019,2019-01-02,2019-12-31,False
0.850330,1.894111,-0.230700,0.361476,0.587302,253,REF-N750,2020,2020-01-02,2020-12-31,False
0.332944,1.330943,-0.162226,0.238093,0.521912,252,REF-N750,2021,2021-01-04,2021-12-31,False
-0.263904,-1.581042,-0.323307,0.183852,0.456000,251,REF-N750,2022,2022-01-03,2022-12-30,False
1.090633,1.608427,-0.436848,0.556980,0.558233,250,REF-N750,2023,2023-01-03,2023-12-29,False
0.542574,1.061253,-0.271272,0.564009,0.565737,252,REF-N750,2024,2024-01-02,2024-12-31,False
0.493778,1.248393,-0.227985,0.381401,0.574297,250,REF-N750,2025,2025-01-02,2025-12-31,False
-0.366854,-1.314991,-0.175332,0.315918,0.438596,58,REF-N750,2026,2026-01-02,2026-03-26,True
