indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset
TF4_DualM_21_252,5,-0.09845448091914473,3.54670909501585e-29,0.09845448091914473,0.4804772234273319,0.5591014717273431,-0.010327947555202688,-5.51922026820549,-0.02936199823497809,5,0.04150579992146821,-0.03814647313270876,-0.04109665965327587,0.0024981583165192113,-0.08242205974859618,-0.008374422739498278,-0.07949833060875494,Gold
TF4_DualM_21_252,21,-0.15201717113240026,1.644160906925713e-67,0.15201717113240026,0.43856655290102387,0.5732899022801303,-0.043101201928542,-10.527461006114521,-0.037167545002231454,4,0.07863800451336021,-0.06448910984331828,-0.04123806681250927,0.08806893944491477,-0.16304826726689,0.037934320675674364,-0.19603863572685196,Gold
TF4_DualM_21_252,63,-0.22190517318803538,4.088802279407203e-143,0.22190517318803538,0.4222568093385214,0.6170245876128229,-0.1305526447355639,-18.024444764019147,-0.07096765149434524,4,0.08351517348835984,-0.13912565234418872,-0.09871823545808593,0.3510061045219668,-0.29000193343669617,0.014097591765992588,-0.417546608997765,Gold
TF4_DualM_42_126,5,-0.06196204551791677,1.8402982937734415e-12,0.06196204551791677,0.4976758599318252,0.5419054996127033,-0.008130371152159806,-4.393561154336249,-0.009443834819835462,4,0.12938481495039916,-0.046836648857915816,0.01015619811036958,-0.023156447208919233,-0.07768659762829806,0.022463467909008557,-0.08043163101349243,Gold
TF4_DualM_42_126,21,-0.10392020484779689,2.706727127840952e-32,0.10392020484779689,0.47067949115730684,0.5411819450907399,-0.03717339921049125,-9.090336983466083,-0.0029545789025988978,3,0.23370821504184008,-0.08260158316239499,0.03505265683083454,0.09269689457046369,-0.1775215190199324,0.0394024951609289,-0.16141921173993212,Gold
TF4_DualM_42_126,63,-0.16245351903791436,1.0276497738369117e-76,0.16245351903791436,0.4636575875486381,0.5756302521008403,-0.11152652103818739,-15.568329129249433,-0.005248857716057915,3,0.231998288413525,-0.16979131591296046,0.10777819358141971,0.2694135602419488,-0.28401390444574226,0.02962348781419525,-0.22175031370479145,Gold
TF4_DualM_42_189,5,-0.08289624418407515,3.9543970085649445e-21,0.08289624418407515,0.48698481561822127,0.5525948876839659,-0.008884447369275333,-4.72949848715154,-0.011820723256479234,5,0.12182923657757463,-0.05265947698867683,-0.06812090080933263,0.02482291935166193,-0.042333374542069674,-0.0007358108236435381,-0.06554765556086853,Gold
TF4_DualM_42_189,21,-0.1390438751310355,1.131355234035662e-56,0.1390438751310355,0.4503568104250698,0.5615014735535908,-0.03677390773027571,-8.91825057707289,-0.020827312652467428,4,0.15245129120658285,-0.12322282175781313,-0.08350742478000074,0.09347606462029673,-0.08282898741949432,0.05645848590764681,-0.1586177963444902,Gold
TF4_DualM_42_189,63,-0.2120262239456369,1.5246576435418441e-130,0.2120262239456369,0.42396887159533075,0.61531279178338,-0.1185946355021377,-16.56257107046889,-0.08527644331936439,5,-0.0742360081446305,-0.1759001197869347,-0.09116376413988937,0.2920243262064502,-0.2677393061475903,0.05744072533576436,-0.33736095655872045,Gold
TF4_DualM_42_252,5,-0.10264737483830716,1.3950283990907425e-31,0.10264737483830716,0.48063216609854353,0.5589465530596437,-0.01065289340883496,-5.661543972878558,-0.04531391384597126,5,0.0422197035662291,-0.07854588434268642,-0.11355968599881018,0.012838693232240161,-0.10034269885536258,-0.004240318883706667,-0.07556720563970225,Gold
