Strategy,Sharpe,CAGR,MaxDD,Worst5Y,WinRate,OOS_CAGR,OOS_Sharpe,Base,LevC,VixC
B0.6/L0.45/V0.1,1.1776530881701557,0.29685792038526704,-0.34634879105461536,0.046168595934157786,0.8076923076923077,0.2153278226802311,0.836039174484169,0.6,0.45,0.1
B0.7/L0.35/V0.2,1.1758875810339324,0.29428726493781654,-0.32788901311127694,0.05211871470307683,0.7884615384615384,0.2184740048865832,0.8479743784994473,0.7,0.35,0.2
B0.7/L0.25/V0.15,1.1738294236484934,0.28990111616762104,-0.34070477613409267,0.04961412135437526,0.8269230769230769,0.2157530729436099,0.8446375209261503,0.7,0.25,0.15
B0.7/L0.45/V0.2,1.173169261094068,0.29670369572814237,-0.34159262753834296,0.05247969689369847,0.8076923076923077,0.22107584497449206,0.8484053630805023,0.7,0.45,0.2
B0.7/L0.15/V0.1,1.1713963427028173,0.27253683871300494,-0.3308659155309487,0.047864473199574986,0.7692307692307693,0.21005158073436636,0.8607423385569146,0.7,0.15,0.1
B0.6/L0.25/V0.05,1.168518016919065,0.27241146309123554,-0.3334059220371348,0.04086511362083267,0.7884615384615384,0.20127690683059551,0.8333913704296942,0.6,0.25,0.05
B0.7/L0.45/V0.15,1.1678328713990627,0.29642197890117417,-0.3495088913687099,0.05030676364062581,0.8269230769230769,0.22076480727916703,0.8473229618671707,0.7,0.45,0.15
B0.7/L0.35/V0.15,1.1666032339572099,0.293416114693412,-0.3463952010075061,0.050116760236667224,0.8076923076923077,0.21686096217521023,0.8400234470018602,0.7,0.35,0.15
B0.7/L0.25/V0.1,1.163944262039123,0.2898246144749299,-0.3559186227218677,0.04908826688070134,0.8076923076923077,0.21452545609248874,0.8356737445702457,0.7,0.25,0.1
B0.7/L0.35/V0.1,1.16013560360248,0.2935705435767686,-0.3589955753137747,0.045791775019453196,0.8076923076923077,0.21822527331680597,0.8417098288953742,0.7,0.35,0.1
B0.7/L0.45/V0.1,1.1579063604430107,0.29488412528144714,-0.36003537419101705,0.04574673564189058,0.8461538461538461,0.21892770127929428,0.8394719870399623,0.7,0.45,0.1
B0.6/L0.35/V0.05,1.1576124542545556,0.287944808871496,-0.35302551299888374,0.03937066455592819,0.8076923076923077,0.20491603210038623,0.8094269315414896,0.6,0.35,0.05
B0.6/L0.45/V0.05,1.153574265325661,0.2909966414628482,-0.35871327734955916,0.044210999458812905,0.8269230769230769,0.21035006623438446,0.8192512014701044,0.6,0.45,0.05
