strategy,case,year,return_pct
F7v3+E4 A:tilt=2.0,conservative (base),1995,117.32604847046875
F7v3+E4 A:tilt=2.0,conservative (base),1996,33.68145128410527
F7v3+E4 A:tilt=2.0,conservative (base),1997,43.67550292014536
F7v3+E4 A:tilt=2.0,conservative (base),1998,60.31454013274661
F7v3+E4 A:tilt=2.0,conservative (base),1999,63.97282500858257
F7v3+E4 A:tilt=2.0,conservative (base),2000,-10.492966975639558
F7v3+E4 A:tilt=2.0,conservative (base),2001,-6.7626126872303916
F7v3+E4 A:tilt=2.0,conservative (base),2002,10.389993325640704
F7v3+E4 A:tilt=2.0,conservative (base),2003,90.72951123893502
F7v3+E4 A:tilt=2.0,conservative (base),2004,0.543762521643738
F7v3+E4 A:tilt=2.0,conservative (base),2005,-21.833786124381042
