indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset,BH_pval,FDR_sig
TF3_MOM_42,63,0.046004510742935,1.8142285625750985e-07,0.046004510742935,0.5452140077821012,0.4940865234982882,0.0306106661529767,4.349678785305619,-0.0849721848969821,1,-0.3662911437391261,-0.141035722766163,-0.1468381983273091,-0.0021894445854744,-0.0063798755089296,-0.0522095160734104,0.1201386067215378,Gold,9.252565669133002e-06,1.0
TF3_MOM_63,5,0.0175790157676894,0.045798069378844,0.0175790157676894,0.5288193368453672,0.5107668474051124,0.0027006515067254,1.4676642403942823,-0.0311693158875396,1,-0.0336588363315546,-0.0052630649070126,-0.1267440440474549,-0.0103509918387759,-0.0143168616702943,-0.037073424133877,0.0092220117161917,Gold,1.0,1.0
TF3_MOM_63,21,0.0181774265364008,0.0390206603258704,0.0181774265364008,0.520788085634502,0.4910811230029471,0.0110639352834063,2.849292246542738,-0.0745583943446963,2,-0.1665603885610966,-0.0589097068645068,-0.1921583882741741,-0.0692382519416112,3.73465946694924e-05,-0.1027556529804942,0.0676762816143387,Gold,0.9755165081467599,1.0
TF3_MOM_63,63,0.0983490928941426,5.399575338608412e-29,0.0983490928941426,0.5578210116731518,0.4814814814814814,0.0703452360105405,10.021768988702764,-0.061381354974333,3,-0.4336840671367789,-0.1517194017011514,-0.0430640119428281,0.0235356594605298,0.0294762428221575,-0.0375633803003072,0.1833494739780473,Gold,4.211668764114561e-27,1.0
TF3_MOM_126,5,0.0483787514723692,3.811416762415943e-08,0.0483787514723692,0.5427641772544158,0.4968241673121611,0.0052226669761607,2.749631582453236,-0.0242467389695328,2,-0.1275350938495249,-0.0266958891231077,-0.0988831024889276,-0.014714421159487,0.0462749924273088,-0.0132338550778885,0.0650601964848968,Gold,2.6679917336911603e-06,1.0
TF3_MOM_126,21,0.0714621182275709,4.513088129201316e-16,0.0714621182275709,0.5418864412038473,0.4699860400186133,0.0244216468388722,5.904680410915217,-0.068431071052989,2,-0.2488490908371328,-0.0998305809891547,-0.224585946492306,-0.153533538702432,0.1404577184410817,-0.0229625968361428,0.1302865380451635,Gold,3.520208740777026e-14,1.0
TF3_MOM_126,63,0.1716150263047347,1.5976671656247284e-85,0.1716150263047347,0.5942412451361868,0.4450669156551509,0.1015451659024225,13.934908554967702,-0.0450422346468332,3,-0.4175180337711073,0.0055627139515102,-0.199913594636762,-0.2022142528622335,0.2623708601616755,-0.0199414167160112,0.2563580813450958,Gold,1.3899704340935137e-83,1.0
TF3_MOM_189,5,0.0621326424385119,1.6002013165175925e-12,0.0621326424385119,0.5447784319801673,0.4948102246320681,0.005496823721341,2.997769700991027,-0.0322806060824905,2,-0.1311693570345883,-0.0486619354365324,-0.0390337743277703,-0.0496511514240361,0.0067024148098053,-0.0102265592548948,0.0460761200905832,Gold,1.4401811848658333e-10,1.0
TF3_MOM_189,21,0.1027631024808123,1.2999174564981192e-31,0.1027631024808123,0.5567793980763264,0.4550953932061424,0.0258872973195305,6.29698940432236,-0.0790884113691877,2,-0.2382414212577058,-0.0765087317752722,-0.147946090614197,-0.15815640922816,0.0274507838177585,-0.0877888285998935,0.127571818073156,Gold,1.1699257108483073e-29,1.0
TF3_MOM_189,63,0.2043976484292104,2.9126617919440917e-121,0.2043976484292104,0.6192996108949417,0.4200124494242141,0.1138908295510964,15.561322156081706,-0.0071080550918354,3,-0.1609518879228724,0.005186598816986,-0.0579402108148898,-0.2252846057335396,0.1918711345506064,-0.1131388599246741,0.3105014453855355,Gold,2.767028702346887e-119,1.0
TF3_MOM_252,5,0.0847693816403906,5.024863673001629e-22,0.0847693816403906,0.554694762937713,0.4848954298993028,0.0090070836219939,4.848616296725326,0.0039437544239145,3,-0.0459898470970549,-0.0213834888179677,0.0098212778420946,-0.0418328217784287,0.0595281366826305,-0.0034127808612992,0.0708758049974276,Gold,4.87411776281158e-20,1.0
TF3_MOM_252,21,0.1338916967711538,1.2048264357674753e-52,0.1338916967711538,0.5690350605026373,0.4428416317667132,0.0367041958590301,8.928001902893321,-0.0124522571377312,2,-0.1219421531417404,-0.0513841447329271,-0.014645324234497,-0.1628588596420171,0.1308402331383491,-0.0587246715997033,0.1915491202484172,Gold,1.1566333783367764e-50,1.0
TF3_MOM_252,63,0.2061865713532575,2.0940687813027196e-123,0.2061865713532575,0.6116731517509728,0.4276377217553688,0.1208142054922411,16.54509971912117,0.0196843912253473,4,-0.1549430950084178,0.0310476926861947,0.0286251408992455,-0.3632231637503574,0.2654162585480533,-0.0576933718527429,0.3885612770554564,Gold,2.0103060300506107e-121,1.0
TF4_DualM_21_126,5,-0.0593818564472002,1.456802859367139e-11,0.0593818564472002,0.4945770065075922,0.5450038729666925,-0.0053212505283763,-2.8086759145869844,-0.0029136032954007,5,0.0957388156547817,-0.0159098410928882,0.073593306075204,-0.0217296725495718,-0.0656300217025696,-2.171607726457153e-05,-0.0864360933754965,Gold,1.267418487649411e-09,1.0
TF4_DualM_21_126,21,-0.0933464280584628,2.3695870178742598e-26,0.0933464280584628,0.4685076016134036,0.5433534977508919,-0.0256905603092177,-6.153851782880606,0.0243421953720203,3,0.2181001609464407,-0.019356190283963,0.1743228021286696,0.0897013861311456,-0.1667064250278709,0.0169410621558446,-0.1426074284461245,Gold,2.0615407055506062e-24,1.0
TF4_DualM_21_126,63,-0.1798004806000054,7.97526842634398e-94,0.1798004806000054,0.4507392996108949,0.5885465297230004,-0.1160751989426882,-16.000703616676685,0.0033817305430589,3,0.3636562424560338,-0.1091208158095894,0.1021462028995127,0.2037539484862656,-0.2785551837026453,0.0115498120479252,-0.2697580925760903,Gold,7.097988899446143e-92,1.0
TF4_DualM_21_189,5,-0.0766448751357085,2.7769613295726553e-18,0.0766448751357085,0.4900836690424543,0.5494965143299768,-0.007645056141225,-4.102869767821426,0.0052820325932342,4,0.1123585344718627,-0.0094981618835677,0.008125057207173,0.0184193197552372,-0.0167282847051333,-0.0065207330969227,-0.0691815035960093,Gold,2.610343649798296e-16,1.0
