indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset
TF4_DualM_21_126,21,-0.0037191060917473296,0.6698436778673932,0.0037191060917473296,0.5868837492391966,0.5870987372584817,-0.0015026227866350578,-0.5961864298960976,0.08151068852750223,2,0.026869680932416495,-0.003085291451918762,0.22634620298430191,0.22899514140928895,0.031098113231782396,-0.002120011606952846,0.06247098419359749,Bond
TF4_DualM_21_126,63,0.004092177030432795,0.6395114604583622,0.004092177030432795,0.6334910700656389,0.6248473748473748,-0.007460037282383175,-1.5522745530673954,0.1315013925746666,6,-0.01535543126729056,0.03273784692002628,0.3042455839806031,0.3456850820958656,0.20802114316328468,0.00916754828444381,0.03600797484573311,Bond
TF4_DualM_21_189,5,-0.03492826099585021,6.127108721726054e-05,0.03492826099585021,0.5376899696048633,0.5614648229752317,-0.0011933830488655974,-1.0865277432770548,0.014633650660566464,4,-0.020498893031209168,-0.002165047945984522,0.026698005569803843,0.08983432541812209,0.03925918798479768,-0.0017173093380245346,-0.02897471403354015,Bond
TF4_DualM_21_189,21,-0.03455272735525258,7.422079259080541e-05,0.03455272735525258,0.5818624467437614,0.5921192758253461,-0.00486546262683559,-1.9082507368311716,0.06815583790085002,2,-0.0075830806611975506,0.021174981698887416,0.1264964555380775,0.1552467927041585,0.1286819859692955,0.06274981750216344,-0.009676087445434715,Bond
TF4_DualM_21_189,63,-0.071016864970539,3.99598444466428e-16,0.071016864970539,0.6090673179667226,0.6492673992673993,-0.029663907176023303,-6.0215056751144,0.0940613708402382,0,0.0056408347890583846,0.05464942963855357,0.054496018025703606,0.18543941115076001,0.16656037765194612,0.14567224633844258,0.04597127828720319,Bond
TF4_DualM_21_252,5,-0.05863582642263207,1.674185681489046e-11,0.05863582642263207,0.5261398176291794,0.5730132198753989,-0.0020216856817668544,-1.79710168535829,0.014486256346587598,1,0.0019785550210399717,0.01276998459337699,0.04975313921487484,0.03571644745311988,-0.015430589975322343,0.00947783808746024,0.007138420031563605,Bond
TF4_DualM_21_252,21,-0.06571685615399223,4.628800027555892e-14,0.06571685615399223,0.5597991479001826,0.6141792180130838,-0.006300328695501761,-2.527890232456948,0.06549852356839465,0,0.027624668119585787,0.07116733628193725,0.1293629428593941,0.1039575755596874,0.011476299277610114,0.06805044655531811,0.04685039632522981,Bond
TF4_DualM_21_252,63,-0.07877352318531275,1.7128287282667322e-19,0.07877352318531275,0.6031140283926119,0.6552197802197802,-0.02752074666913417,-5.619905421284862,0.11718796827342011,1,0.04444573807097837,0.1395835673139056,0.2313360243412892,0.14052622916800836,0.1324803926084254,0.14232008127371487,-0.010376254862381052,Bond
TF4_DualM_42_126,5,-0.01935113249978375,0.026419715438896863,0.01935113249978375,0.5437689969604863,0.5553867193435648,-0.00018279181611488473,-0.16112280246931573,0.035408851663664496,1,0.028731886669362165,0.0011175198029164468,0.05290352506941663,0.1245398968895675,0.018870346345572588,-0.002407747021857233,0.024106533890673378,Bond
TF4_DualM_42_126,21,-0.00765809839543559,0.3799746717532488,0.00765809839543559,0.5882531953743153,0.5857294994675186,0.00010997674373439473,0.044022267567307594,0.07684969644033653,0,0.023672407206864553,0.031034978604506755,0.18933014881174268,0.18902050140194326,0.04820155759348924,0.030250026036334827,0.02643825542747436,Bond
