signal_id,signal_name,asset,horizon,n_obs,mean_ic,t_stat,p_value,p_value_bh,hit_rate_max_level,hit_wilson_lower,base_rate,hit_lift_pp,half_sample_same_sign,decade_same_sign,pass_flag
27,3M10Y spread (DGS10-DTB3),NDX,60,3263,-0.07984191311787375,-3.2115829248930368,0.0013200586673691728,0.0019340394428897182,0.7535377358490566,0.7234319468956021,0.7501787842669845,0.33589515820721116,False,False,False
27,3M10Y spread (DGS10-DTB3),IEF,5,3315,0.08907568734527324,12.954986445329318,0.0,0.0,0.5813679245283019,0.5478697913560275,0.5355294117647059,4.583851276359596,False,False,False
27,3M10Y spread (DGS10-DTB3),IEF,20,3300,0.15815346813420525,9.10846170874147,0.0,0.0,0.6379716981132075,0.6050704055199342,0.5600944510035419,7.787724710966559,False,False,False
27,3M10Y spread (DGS10-DTB3),IEF,60,3263,0.226189334100836,8.011245750709817,1.1102230246251565e-15,4.9960036108132044e-15,0.7582547169811321,0.7283153618714684,0.6038140643623361,15.444065261879603,False,False,False
27,3M10Y spread (DGS10-DTB3),GLD,5,3315,0.057503899285787745,8.015364032330073,1.1102230246251565e-15,4.9960036108132044e-15,0.5778301886792453,0.54430987451573,0.5428235294117647,3.500665926748059,False,False,False
27,3M10Y spread (DGS10-DTB3),GLD,20,3300,0.10880468429047138,6.7283595410359105,1.715871889018672e-11,5.404996450408817e-11,0.6226415094339622,0.5895327129082827,0.5641086186540732,5.853289077988899,False,False,False
27,3M10Y spread (DGS10-DTB3),GLD,60,3263,0.11415445378844716,4.683411315055945,2.821395548302519e-06,5.9249306514352895e-06,0.7240566037735849,0.6930123588876181,0.6212157330154946,10.284087075809033,False,False,False
41,DXY,NDX,5,2903,0.044954291594678134,5.178581624194192,2.2357924733817924e-07,5.030533065109033e-07,0.59846547314578,0.5701349900324214,0.6021176470588235,-0.36521739130435105,True,True,False
41,DXY,NDX,20,2903,0.09360569428698925,6.891633476430351,5.515587986337778e-12,1.8288528586277897e-11,0.6882556131260794,0.6609911371065347,0.6750885478158205,1.3167065310258907,False,True,True
41,DXY,NDX,60,2903,0.20124867213240916,9.996093756990495,0.0,0.0,0.7778768956289027,0.7526178629906118,0.7501787842669845,2.7698111361918243,True,True,True
41,DXY,IEF,5,2903,0.051809974740292114,5.905134092572168,3.5236003004257554e-09,9.249450788617608e-09,0.5106564364876386,0.48206148226311124,0.5355294117647059,-2.4872975277067333,False,False,False
41,DXY,IEF,20,2903,0.11075224197828733,5.789848325449489,7.0450012490397285e-09,1.7753403147580115e-08,0.5492227979274611,0.5204487933497535,0.5600944510035419,-1.0871653076080845,True,False,False
41,DXY,IEF,60,2903,0.07870459856654928,3.1601573789574853,0.0015768394012023457,0.0022577473244488134,0.5941123996431757,0.5650919883092821,0.6038140643623361,-0.9701664719160341,False,False,False
41,DXY,GLD,5,2903,0.04371981720448712,3.6907460831142584,0.0002235972551991594,0.00038071965074451466,0.566069906223359,0.5375372801934702,0.5428235294117647,2.324637681159425,True,False,False
41,DXY,GLD,20,2903,0.09701402266270316,5.525194586607918,3.291206351896392e-08,7.679481487758248e-08,0.6606217616580311,0.6328589304830671,0.5641086186540732,9.651314300395786,True,False,True
41,DXY,GLD,60,2903,0.1958070097480159,8.094791793403399,6.661338147750939e-16,3.497202527569243e-15,0.7832292595896521,0.758163094638249,0.6212157330154946,16.201352657415747,True,True,False
28,10Y real yield (DGS10 - CPI YoY),NDX,5,2715,0.02105538839531879,2.3842255901760065,0.0171151070266522,0.02073561043613632,0.6180555555555556,0.5366095891532081,0.6021176470588235,1.5937908496732045,True,False,False
28,10Y real yield (DGS10 - CPI YoY),NDX,20,2713,0.037454701757013695,2.4936777613857077,0.01264272616470774,0.015617485262286032,0.8333333333333334,0.7639773510623427,0.6750885478158205,15.824478551751287,True,False,False
28,10Y real yield (DGS10 - CPI YoY),NDX,60,2676,0.055442149727818926,2.6125971241039205,0.008985715659113325,0.01132200173048279,1.0,0.9740163628569634,0.7501787842669845,24.98212157330155,True,False,False
28,10Y real yield (DGS10 - CPI YoY),IEF,5,2715,0.10218461514529997,9.54583302728531,0.0,0.0,0.5,0.41940279604254754,0.5355294117647059,-3.552941176470592,True,True,False
28,10Y real yield (DGS10 - CPI YoY),IEF,20,2713,0.1048075157851713,5.526197331289564,3.2724604803746615e-08,7.679481487758248e-08,0.5694444444444444,0.48780357786706985,0.5600944510035419,0.9349993440902482,True,True,True
28,10Y real yield (DGS10 - CPI YoY),IEF,60,2676,0.07402909745312607,2.7261939462061697,0.006406933933891246,0.00840910078823226,0.6041666666666666,0.5225848540044727,0.6038140643623361,0.03526023043305404,False,True,True
28,10Y real yield (DGS10 - CPI YoY),GLD,5,2715,0.05746656871963744,6.6564906778876916,2.8044233602031454e-11,8.413270080609436e-11,0.6041666666666666,0.5225848540044727,0.5428235294117647,6.134313725490193,True,True,False
28,10Y real yield (DGS10 - CPI YoY),GLD,20,2713,0.07448907359115002,3.6765110577197935,0.0002364456107233348,0.00039200193356763406,0.7847222222222222,0.7106590255502282,0.5641086186540732,22.061360356814895,True,True,True
28,10Y real yield (DGS10 - CPI YoY),GLD,60,2676,0.049193255745062336,1.857400082528501,0.06325425475573021,0.07245487362929097,0.9305555555555556,0.8768914537023965,0.6212157330154946,30.933982254006096,True,True,True
