signal_id,signal_name,strategy,mean_ic,t_stat,p_value,n_obs,error,p_value_bh,reject_bh
macro_gold_mom63,gold_mom63,S3,-0.02149491453726035,-6.1745747783835245,6.634177651676509e-10,11504,,2.3068845016056957e-09,True
macro_gold_mom126,gold_mom126,S1,-0.013454518553436356,-4.536616672128559,5.716387119436561e-06,12273,,1.433782343071793e-05,True
macro_gold_mom126,gold_mom126,S2,-0.017325755638436982,-5.827717009120974,5.619075649221372e-09,12273,,1.7545277027160613e-08,True
macro_gold_mom126,gold_mom126,S3,-0.010230194355362963,-2.9692183749482024,0.002985583416072579,11375,,0.005374050148930642,True
macro_gold_mom252,gold_mom252,S1,-0.016368183891146654,-4.724063292608394,2.3117841565500896e-06,11349,,5.994965694104469e-06,True
macro_gold_mom252,gold_mom252,S2,-0.02026767576819074,-6.053296998380276,1.4191088304471577e-09,11349,,4.720079370835112e-09,True
macro_gold_mom252,gold_mom252,S3,-0.010365181235414592,-2.7056122589930474,0.006817860012249932,10513,,0.011853779339479996,True
macro_bond_mom21,bond_mom21,S1,0.02419670624831553,7.969624197620688,1.5543122344752192e-15,12443,,1.0809535085214025e-14,True
macro_bond_mom21,bond_mom21,S2,0.02309247916912525,7.8139587724831925,5.551115123125783e-15,12443,,3.692698321035847e-14,True
macro_bond_mom21,bond_mom21,S3,0.01892268645092457,5.858702601603227,4.66497240836361e-09,11514,,1.4869599551659007e-08,True
macro_bond_mom63,bond_mom63,S1,0.028665479422306947,9.115803210422076,0.0,12402,,0.0,True
macro_bond_mom63,bond_mom63,S2,0.02955809667208193,9.788469211895373,0.0,12402,,0.0,True
macro_bond_mom63,bond_mom63,S3,0.024060426141698742,7.128848113022203,1.0120793092482927e-12,11504,,4.995101106935122e-12,True
macro_bond_mom126,bond_mom126,S1,0.019044187690860845,5.508294097255201,3.6232771449817847e-08,12341,,1.0660796215042558e-07,True
macro_bond_mom126,bond_mom126,S2,0.018312590557334838,5.3517578750309935,8.710389631794158e-08,12341,,2.4679437290083445e-07,True
macro_bond_mom126,bond_mom126,S3,0.023237455714745343,6.214613908297718,5.145099901682215e-10,11443,,1.8306983371101835e-09,True
macro_bond_mom252,bond_mom252,S1,0.010772313053869947,3.383432377763515,0.0007158583383202188,11776,,0.001386409186873335,True
macro_bond_mom252,bond_mom252,S2,0.007634081024694807,2.4425723422057346,0.014583006573326784,11776,,0.0242521739752065,True
macro_bond_mom252,bond_mom252,S3,0.007901808653281033,2.073039939232015,0.03816856277022018,10878,,0.057819703998452356,True
macro_nas_gold_rel63,nas_gold_rel63,S1,0.041021164425904255,14.142965255928454,0.0,12402,,0.0,True
macro_nas_gold_rel63,nas_gold_rel63,S2,0.03975187824856435,14.031364298171685,0.0,12402,,0.0,True
macro_nas_gold_rel63,nas_gold_rel63,S3,0.05308271275522934,17.658896126868065,0.0,11504,,0.0,True
macro_nas_bond_rel63,nas_bond_rel63,S1,0.005347528493583861,1.4529830756075373,0.14622845311120547,12402,,0.18644127771678698,False
macro_nas_bond_rel63,nas_bond_rel63,S2,0.0020891379649322023,0.5816091641347603,0.5608299687586698,12402,,0.6085601788657906,False
macro_nas_bond_rel63,nas_bond_rel63,S3,0.023738012960725252,6.402454363625644,1.5289880472835193e-10,11504,,5.848379280859461e-10,True
macro_gold_bond_rel63,gold_bond_rel63,S1,-0.02845224047927596,-9.060040030674056,0.0,12402,,0.0,True
macro_gold_bond_rel63,gold_bond_rel63,S2,-0.030577769258882604,-10.039420110787658,0.0,12402,,0.0,True
macro_gold_bond_rel63,gold_bond_rel63,S3,-0.02657618569819589,-7.441779939454776,9.9253938401489e-14,11504,,5.061950858475938e-13,True
macro_vix_level,vix_level,S1,-0.008167863294328706,-2.6672813054293876,0.007646763780784216,12392,,0.012999498427333167,True
macro_vix_level,vix_level,S2,-0.002417434116695785,-0.8035339954748899,0.42166615581583966,12392,,0.48145464059569754,False
macro_vix_level,vix_level,S3,-0.004613884180150062,-1.5891106330637659,0.11203541761133806,11463,,0.14905581647421498,True
macro_vix_z252,vix_z252,S1,-0.02082586432803376,-6.618273882883785,3.634181844347495e-11,12200,,1.425717492782479e-10,True
macro_vix_z252,vix_z252,S2,-0.01670867861419203,-5.449250512829688,5.058252416922926e-08,12200,,1.4602124901683164e-07,True
macro_vix_z252,vix_z252,S3,-0.02513594024496607,-7.452453120324401,9.170442183403793e-14,11302,,5.010991621645644e-13,True
macro_vix_z63,vix_z63,S1,-0.028334832899650282,-9.196242015200676,0.0,12383,,0.0,True
macro_vix_z63,vix_z63,S2,-0.025847460091259947,-8.691915352224255,0.0,12383,,0.0,True
macro_vix_z63,vix_z63,S3,-0.021713894970413452,-6.8129857055177565,9.559464331232448e-12,11485,,4.0627723407737903e-11,True
macro_vix_mom21,vix_mom21,S1,-0.03134046187189028,-10.528695943984468,0.0,12423,,0.0,True
macro_vix_mom21,vix_mom21,S2,-0.029866436857068922,-10.214337086797245,0.0,12423,,0.0,True
macro_vix_mom21,vix_mom21,S3,-0.021088702565663902,-7.101352139624728,1.2354561818028742e-12,11514,,5.907024869244992e-12,True
macro_vix_ret_5d,vix_ret_5d,S1,-0.016499515440305184,-5.948771611244987,2.701622925371794e-09,12438,,8.794644842167753e-09,True
macro_vix_ret_5d,vix_ret_5d,S2,-0.015232795793629579,-5.554593001999126,2.7825933335279274e-08,12438,,8.347780000583782e-08,True
macro_vix_ret_5d,vix_ret_5d,S3,-0.00266379073501658,-1.013688944561506,0.31073120100115137,11514,,0.3657067211782782,False
